domainID	domainName
smart00558	lysine-specific demethylase 2B
smart00388	hybrid sensor histidine kinase/response regulator
cl38936	P-loop NTPase family protein
pfam00810	ER lumen protein-retaining receptor
cd07991	lipid droplet-regulating VLDL assembly factor AUP1
cd15636	pygopus homolog 2
PLN02560	steroid 5-alpha reductase family protein
COG3958	transketolase family protein
COG0671	phosphatase PAP2 family protein
cl04187	sialate O-acetylesterase family protein
pfam00494	phytoene/squalene synthase family protein
cd04118	Ras-related protein Rab24
cd07723	hydroxyacylglutathione hydrolase family protein
cd09877	PIN/TRAM domain-containing protein
PRK10665	P-II family nitrogen regulator
cl16533	PADRE domain-containing protein
TIGR02900	stage V sporulation protein B
cd05581	3-phosphoinositide-dependent protein kinase
PRK05951	prenyltransferase
COG0069	glutamate synthase
cd17385	solute carrier family 18 member B1
pfam04954	siderophore-interacting protein
cd03030	SH3 domain-binding glutamic acid-rich-like protein
PRK07708	ribonuclease H family protein
TIGR00627	general transcription factor IIH subunit 3
cl01879	DUF962 domain-containing protein
PRK05426	aminoacyl-tRNA hydrolase
COG4512	accessory gene regulator AgrB
pfam13727	polysaccharide biosynthesis protein
pfam12202	STE family serine/threonine-protein kinase
PRK13108	prolipoprotein diacylglyceryl transferase
cl40534	cation diffusion facilitator family transporter
pfam01844	HNH endonuclease
pfam07915	PRKCSH domain-containing protein
cd00419	ferrochelatase
pfam00755	choline/carnitine O-acyltransferase
PTZ00352	60S ribosomal protein L13
pfam09671	spore coat protein GerQ
pfam15786	protein PET117
cd14830	coatomer subunit delta
cd14086	calcium/calmodulin-dependent protein kinase type II subunit
cl29647	ribosomal protein uS4 family protein
cl02562	PWI domain-containing protein
pfam11028	DUF2723 domain-containing protein
pfam10997	lipid II flippase Amj family protein
cl33990	NAD(P)/FAD-dependent oxidoreductase
PRK10355	D-xylose ABC transporter substrate-binding protein
PRK06049	50S ribosomal protein L30
COG1167	PLP-dependent aminotransferase family protein
COG4723	tail assembly protein
COG0626	PLP-dependent aspartate aminotransferase family protein
pfam01529	DHHC family palmitoyltransferase
cd13921	cupredoxin family copper-binding protein
pfam15290	syntaphilin domain-containing protein
pfam10725	YbfA family protein
pfam01969	LarC family nickel insertion protein
cd02071	cobalamin B12-binding domain-containing protein
cd04725	orotidine 5 -phosphate decarboxylase
pfam14958	DUF4506 domain-containing protein
pfam04004	RNA polymerase-associated LEO1 family protein
TIGR01600	phage minor tail protein L
PHA03371	myristylated tegument protein CIRC
PRK15410	M90 family metallopeptidase
pfam11051	alpha-mannosyltransferase
pfam08163	DNA-dependent protein kinase catalytic subunit
pfam11794	4-hydroxyphenylacetate 3-hydroxylase family protein
COG1526	formate dehydrogenase accessory sulfurtransferase FdhD
pfam04121	nucleoporin Nup84/Nup107 family protein
COG3547	transposase
smart00199	CC family chemokine
TIGR03615	pyrimidine utilization flavin reductase protein F
PRK11660	C4-dicarboxylic acid transporter DauA
cl00429	SNARE-associated domain-containing protein
PRK01611	arginine--tRNA ligase
pfam14144	DOG1 domain-containing protein
smart00612	F-box/kelch-repeat protein
TIGR01171	50S ribosomal protein L2
TIGR02161	cytochrome c3 family protein
pfam01237	OSBP family protein
CHL00012	NAD(P)H-quinone oxidoreductase subunit J
cd03088	phosphomannomutase
pfam13283	bacteriophage N4 adsorption protein A
cd01266	GRB2-associated binding protein
