DiseaseID	DiseaseName
DOID:9810	Polyarteritis nodosa
AmyCo:23	AH Amyloidosis
MESH:C535566	Absent corpus callosum cataract immunodeficiency
MESH:D017827	Machado-Joseph Disease
MESH:D020734	Parkinsonian Disorders
MESH:C565798	Rheumatoid Arthritis, Systemic Juvenile
MESH:C535440	Bietti Crystalline Dystrophy
DOID:0110786	Hereditary spastic paraplegia 35
DOID:2843	Long QT syndrome
ICD10:D47	Histiocytic and mast cell tumors of uncertain behavior
MESH:C566928	Tyrosine Kinase 2 Deficiency
MESH:C564127	Inosine Triphosphatase Deficiency
MESH:C535956	Epidermolysis bullosa dystrophica, Pasini type
DOID:255	Hemangioma
ICD10:Q7	Fused fingers  unspecified hand
MESH:C537758	Renal tubular acidosis, distal, autosomal recessive
DOID:231	Motor neuron disease
MESH:D001254	Astrocytoma
MESH:D006319	Hearing Loss, Sensorineural
DOID:10632	Wolfram syndrome
MESH:D015799	Gyrate Atrophy
MESH:D003394	Craniofacial Dysostosis
MESH:C548082	Noonan Syndrome 4
MESH:C536750	Wrinkly skin syndrome
MESH:C566112	Stiff Skin Syndrome
MESH:D053306	Hyper-IgM Immunodeficiency Syndrome
DOID:654	Overnutrition
MESH:C536991	Moyamoya disease 1
AmyCo:27	Leukocyte chemotactic factor 2 Amyloidosis
